district,total_population,senior_population,senior_percentage,area_degrees,senior_density_per_deg,area_km2,senior_density_per_km2
Alor Gajah,256.3,81.2,31.68162309793211,0.0543311044499997,1494.5398372073837,671.2064643752964,0.12097618886250487
Alor Gajah,260.5,81.2,31.17082533589252,0.0543311044499997,1494.5398372073837,671.2064643752964,0.12097618886250487
Jasin,151.9,64.2,42.264647794601714,0.0553745923000001,1159.3764817659846,684.0977132742013,0.0938462426554951
Jasin,155.9,64.2,41.18024374599102,0.0553745923000001,1159.3764817659846,684.0977132742013,0.0938462426554951
Jasin,153.9,64.2,41.71539961013645,0.0553745923000001,1159.3764817659846,684.0977132742013,0.0938462426554951
Jasin,154.5,64.2,41.55339805825243,0.0553745923000001,1159.3764817659846,684.0977132742013,0.0938462426554951
Jasin,156.4,64.2,41.04859335038363,0.0553745923000001,1159.3764817659846,684.0977132742013,0.0938462426554951
Melaka Tengah,597.1,189.9,31.80371797018925,0.0242511768999999,7830.547803228491,299.59903942259876,0.6338471590762912
Melaka Tengah,597.7,189.9,31.77179186883052,0.0242511768999999,7830.547803228491,299.59903942259876,0.6338471590762912
Melaka Tengah,602.8,189.9,31.502986065029862,0.0242511768999999,7830.547803228491,299.59903942259876,0.6338471590762912
Melaka Tengah,617.5,189.9,30.75303643724697,0.0242511768999999,7830.547803228491,299.59903942259876,0.6338471590762912
Melaka Tengah,630.1,189.9,30.138073321694968,0.0242511768999999,7830.547803228491,299.59903942259876,0.6338471590762912
Jelebu,46.1,21.8,47.288503253796094,0.1101586036999995,197.8964807811928,1360.8993901097938,0.016018818259769543
Jelebu,45.8,21.8,47.59825327510917,0.1101586036999995,197.8964807811928,1360.8993901097938,0.016018818259769543
Jelebu,46.3,21.8,47.0842332613391,0.1101586036999995,197.8964807811928,1360.8993901097938,0.016018818259769543
Jelebu,47.5,21.8,45.89473684210527,0.1101586036999995,197.8964807811928,1360.8993901097938,0.016018818259769543
Jelebu,48.7,21.8,44.76386036960985,0.1101586036999995,197.8964807811928,1360.8993901097938,0.016018818259769543
Jempol,127.2,60.5,47.56289308176101,0.1212579699500003,498.9362763119539,1498.0209607623037,0.04038661780087051
Jempol,127.1,60.5,47.60031471282455,0.1212579699500003,498.9362763119539,1498.0209607623037,0.04038661780087051
Jempol,127.6,60.5,47.41379310344828,0.1212579699500003,498.9362763119539,1498.0209607623037,0.04038661780087051
Jempol,129.5,60.5,46.71814671814672,0.1212579699500003,498.9362763119539,1498.0209607623037,0.04038661780087051
Jempol,131.3,60.5,46.07768469154608,0.1212579699500003,498.9362763119539,1498.0209607623037,0.04038661780087051
Kuala Pilah,70.3,31.5,44.80796586059744,0.0838668539,375.5953458986253,1036.0911130806,0.030402731576705973
Kuala Pilah,70.0,31.5,45.0,0.0838668539,375.5953458986253,1036.0911130806,0.030402731576705973
Kuala Pilah,70.4,31.5,44.74431818181818,0.0838668539,375.5953458986253,1036.0911130806,0.030402731576705973
Kuala Pilah,71.4,31.5,44.11764705882353,0.0838668539,375.5953458986253,1036.0911130806,0.030402731576705973
Kuala Pilah,72.3,31.5,43.56846473029046,0.0838668539,375.5953458986253,1036.0911130806,0.030402731576705973
Port Dickson,128.7,40.1,31.15773115773116,0.0474426264999999,845.2314502444349,586.1062077809987,0.06841763398449373
Port Dickson,128.9,40.1,31.10938712179984,0.0474426264999999,845.2314502444349,586.1062077809987,0.06841763398449373
Port Dickson,130.1,40.1,30.822444273635668,0.0474426264999999,845.2314502444349,586.1062077809987,0.06841763398449373
Port Dickson,132.7,40.1,30.21853805576489,0.0474426264999999,845.2314502444349,586.1062077809987,0.06841763398449373
Port Dickson,135.2,40.1,29.65976331360947,0.0474426264999999,845.2314502444349,586.1062077809987,0.06841763398449373
Rembau,47.3,22.7,47.99154334038055,0.0325403568000003,697.5953011062173,402.0035679072037,0.05646716052341093
Rembau,47.4,22.7,47.89029535864979,0.0325403568000003,697.5953011062173,402.0035679072037,0.05646716052341093
Rembau,47.8,22.7,47.48953974895397,0.0325403568000003,697.5953011062173,402.0035679072037,0.05646716052341093
Rembau,48.5,22.7,46.8041237113402,0.0325403568000003,697.5953011062173,402.0035679072037,0.05646716052341093
Rembau,49.2,22.7,46.138211382113816,0.0325403568000003,697.5953011062173,402.0035679072037,0.05646716052341093
Seremban,692.3,229.2,33.10703452260581,0.0780913524499992,2935.024081530072,964.74056816729,0.23757682382467799
Seremban,696.1,229.2,32.92630369199827,0.0780913524499992,2935.024081530072,964.74056816729,0.23757682382467799
Seremban,696.9,229.2,32.88850624192854,0.0780913524499992,2935.024081530072,964.74056816729,0.23757682382467799
Seremban,705.5,229.2,32.487597448618,0.0780913524499992,2935.024081530072,964.74056816729,0.23757682382467799
Seremban,712.7,229.2,32.159393854356665,0.0780913524499992,2935.024081530072,964.74056816729,0.23757682382467799
Tampin,88.1,37.4,42.45175936435868,0.07001742485,534.1527495494569,864.9952665968999,0.043237230819933414
Tampin,88.8,37.4,42.11711711711711,0.07001742485,534.1527495494569,864.9952665968999,0.043237230819933414
Tampin,88.8,37.4,42.11711711711711,0.07001742485,534.1527495494569,864.9952665968999,0.043237230819933414
Tampin,89.8,37.4,41.648106904231625,0.07001742485,534.1527495494569,864.9952665968999,0.043237230819933414
Tampin,90.6,37.4,41.280353200883,0.07001742485,534.1527495494569,864.9952665968999,0.043237230819933414
Bentong,116.8,43.9,37.58561643835616,0.1498384523000007,292.982204007988,1851.1042397142087,0.023715574227617622
Bentong,115.7,43.9,37.942955920484,0.1498384523000007,292.982204007988,1851.1042397142087,0.023715574227617622
Bentong,116.7,43.9,37.617823479006,0.1498384523000007,292.982204007988,1851.1042397142087,0.023715574227617622
Bentong,119.6,43.9,36.7056856187291,0.1498384523000007,292.982204007988,1851.1042397142087,0.023715574227617622
Bentong,121.2,43.9,36.22112211221122,0.1498384523000007,292.982204007988,1851.1042397142087,0.023715574227617622
Bera,98.1,37.5,38.226299694189606,0.1771480894,211.6872957930981,2188.4874964476,0.017135121887089055
Bera,98.0,37.5,38.265306122448976,0.1771480894,211.6872957930981,2188.4874964476,0.017135121887089055
Bera,98.9,37.5,37.91708796764408,0.1771480894,211.6872957930981,2188.4874964476,0.017135121887089055
Bera,100.1,37.5,37.46253746253746,0.1771480894,211.6872957930981,2188.4874964476,0.017135121887089055
Bera,101.0,37.5,37.12871287128713,0.1771480894,211.6872957930981,2188.4874964476,0.017135121887089055
Cameron Highlands,39.0,15.2,38.97435897435898,0.0564087594499996,269.4616961657023,696.8738142452951,0.021811696306111593
Cameron Highlands,38.5,15.2,39.48051948051948,0.0564087594499996,269.4616961657023,696.8738142452951,0.021811696306111593
Cameron Highlands,39.2,15.2,38.77551020408163,0.0564087594499996,269.4616961657023,696.8738142452951,0.021811696306111593
Cameron Highlands,40.9,15.2,37.16381418092909,0.0564087594499996,269.4616961657023,696.8738142452951,0.021811696306111593
Cameron Highlands,44.5,15.2,34.157303370786515,0.0564087594499996,269.4616961657023,696.8738142452951,0.021811696306111593
Jerantut,96.0,33.0,34.375,0.5905346830000008,55.881561151252406,7295.465473782009,0.004523357710154801
Jerantut,95.9,33.0,34.410844629822726,0.5905346830000008,55.881561151252406,7295.465473782009,0.004523357710154801
Jerantut,97.0,33.0,34.02061855670103,0.5905346830000008,55.881561151252406,7295.465473782009,0.004523357710154801
Jerantut,98.6,33.0,33.46855983772819,0.5905346830000008,55.881561151252406,7295.465473782009,0.004523357710154801
Jerantut,100.0,33.0,33.0,0.5905346830000008,55.881561151252406,7295.465473782009,0.004523357710154801
